regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
40274;2 октября 2015 г.
40293;22 сентября 2015 г.
40293;9 октября 2015 г.
40309;23 сентября 2015 г.
40309;06 октября 2015 г.
40313;23 сентября 2015 
40313;07 октября 2015
40331;23 сентября 2015 г.
40331;13 октября 2015 г.
40336;23 сентября 2015 г.
40336;13 октября 2015 г.
40342;23.09.2015
40342;13.10.2015
40355;24/09/2015
40355;08/10/2015
40357;24 сентября 2015 г.
40357; 
40370;24 сентября 2015 г.
40370;7 октября 2015 г.
40374;24.09.2015
40374;07.10.2015
40375;24.09.2015
40375;14.03.2016
40403;25.09.2015
40403;08.10.2015
40408;25 сентября 2015
40408;8 октября 2015
40411;25.09.2015
40411;08.10.2015
40412;25.09.2015
40412;23.10.2015
40415;25.09.2015 г.
40415;23.10.2015
40417;25 сентября 2015 г.
40417;19 октября 2015 г.
40427;28 сентября 2015 г.
40427;9 октября 2015 г.
40428;28.09.2015
40428; 
40429;28 сентября 2015 г.
40429;09 октября 2015 г.
40447;28.09.2015
40447;10.10.2015
40452;28.09.2015
40452; 
40473;29.09.2015
40473;12.10.2015
40496;01 октября 2015
40496;14 октября 2015
40502;30 сентября 2015 г.
40502;27 октября 2015 г.
40543;1 октября 2015 г.
40543;14 октября 2015 г.
40548;1 октября 2015 г.
40548;15 октября 2015 г.
40553;01.10.2015
40553;15.10.2015
40556;01.10.2015
40556;21.10.2015
40563;28.10.2015
40563; 
40572;2 октября 2015 г.
40572;15 октября 2015 г.
40582;02.10.2015
40582;22.10.2015
40597;02.10.2015
40597;15.10.2015
40607;2 октября 2015 года
40607;-
40634;06.10.2015
40634;19.10.2015
40646;05.10.2015
40646; 
40662;05.10.2015 
40662;13.10.2015
40663;5.10.2015
40663;13.10.2015
40673;06.10.2015
40673;20.10.2015
40676;06.10.2015
40676;20.10.2015
40678;6.10.2015
40678;19.10.2015
40690;06.10.2015
40690; 
40694;6.10.2015
40694;21.10.2015
40717;7 октября 2015 года
40717;20 октября 2015 года
40739;21.10.2015
40739;10.11.2015
40743;08.10.2015
40743;27.10.2015
40754;08.10.2015
40754;05.11.2015
40760;8 октября 2015 г.
40760;28 октября  2015 г.
40804;9 октября 2015 г.
40804;23 октября 2015 г.
40805;09.10.2015
40805;29.10.2015
40807;9 октября 2015 г.
40807;23 октября 2015 г.
40810;09.10.2015
40810;26.01.2015
40812;09.10.2015 
40812; 23.10.2015
40818;9 октября 2015 г.
40818;22 октября 2015 г.
40831;9 октября 2015 г.
40831;22 октября 2015 г.
40848;12 октября  2015 г.
40848;23 октября  2015 г.
40852;22 октября 2015 г.
40852;4 ноября 2015 г.
40854;12.10.2015
40854;22.10.2015
40860;12.10.2015
40860;21.10.2015
40871;12.10.2015
40871;30.10.2015
40872;12.10.2015
40872;26.10.2015
40881;13 октября 2015
40881;2 ноября 2015
40884;уведомление не размещалось
40884;уведомление не размещалось
40885;13.11.2015
40885;24.11.2015
40886;13 октября 2015 года
40886;26 октября 2015 года
40898;13 октября 2015 г.
40898;26 октября 2015 г.
40901;13 октября
40901; 
